State,Hotel Name,Type,Amenities,Nearby Tourist Places
Gujarat,Hyatt Place Vadodara,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Nilamber Triumph, Laxmi Vilas Palace, EME Temple, Baroda Museum, Sayaji Baug"
Gujarat,Surat Marriott Hotel,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Tapti Riverfront, Dutch Garden, Sardar Patel Museum, Dumas Beach, Gopi Talav"
Gujarat,The Gateway Athwalines,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Dumas Beach, Tapti Riverfront, Science Centre, Dutch Garden, Ambika Temple"
Gujarat,Orange Megastructure,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Airport Road, Dumas Beach, VR Surat Mall, Gopi Talav, Science Centre"
Gujarat,Sayaji Hotel Rajkot,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Race Course, Rotary Dolls Museum, Watson Museum, Kaba Gandhi No Delo, Aji Dam"
Gujarat,Fortune Park JPS Grand,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","150ft Ring Road, Nyari Dam, Race Course, Watson Museum, Dolls Museum"
Gujarat,The Imperial Palace,Heritage Hotel,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Yagnik Road, Race Course Ground, Watson Museum, Dolls Museum, Jubilee Garden"
Gujarat,Hawthorn Suites Dwarka,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Dwarkadhish Temple, Nageshwar Jyotirlinga, Bet Dwarka, Rukmini Temple, Gopi Talav"
Gujarat,The Fern Somnath,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Somnath Temple, Triveni Sangam, Bhalka Tirth, Prabhas Patan Museum, Gita Mandir"
Gujarat,The Fern Gir Forest,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Gir National Park, Kamleshwar Dam, Devalia Safari Park, Somnath Temple, Uparkot Fort"
Gujarat,Woods at Sasan,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Sasan Gir, Gir National Park, Kamleshwar Dam, Somnath Temple, Jamjir Waterfall"
Gujarat,Tent City Narmada,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Statue of Unity, Valley of Flowers, Sardar Sarovar Dam, Jungle Safari, Cactus Garden"
MP,Sheraton Grand Indore,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Bypass Road, Rajwada Palace, Lal Bagh Palace, Khajrana Temple, Sarafa Bazaar"
MP,Indore Marriott Hotel,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Meghdoot Garden, Rajwada Palace, Lal Bagh Palace, Annapurna Temple, Pipliyapala Park"
MP,Sayaji Hotel Indore,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Vijay Nagar, Meghdoot Garden, Rajwada, Lal Bagh Palace, Regional Park"
MP,Radisson Blu Indore,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Vijay Nagar, Rajwada Palace, Lal Bagh Palace, Khajrana Ganesh, Central Museum"
MP,The Park Indore,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","MR 10 Road, Rajwada, Khajrana Temple, Lal Bagh Palace, Sarafa Bazaar"
MP,Taj Lakefront Bhopal,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Upper Lake, Van Vihar National Park, Bharat Bhavan, Birla Mandir, Sanchi Stupa"
MP,Jehan Numa Palace,Heritage Hotel,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Van Vihar, Upper Lake, Tribal Museum, Bharat Bhavan, Birla Temple"
MP,Jehan Numa Retreat,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Van Vihar, Upper Lake, Bhopal Zoo, Tribal Museum, Bharat Bhavan"
MP,Courtyard Bhopal,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","DB City Mall, Van Vihar, Upper Lake, Bharat Bhavan, Birla Temple"
MP,Noor-Us-Sabah Palace,Heritage Hotel,"WiFi, Heritage Dining, Courtyard, Spa, Parking","VIP Road, Upper Lake, Van Vihar, Taj-ul-Masajid, Manuabhan Tekri"
MP,The Lalit Temple View,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Western Group Temples, Eastern Group, Panna National Park, Raneh Falls, Ken River"
MP,Radisson Jass Hotel,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Khajuraho Temples, Raneh Falls, Ken Gharial Sanctuary, Panna National Park, Museum"
MP,Ramada Khajuraho,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Airport Road, Khajuraho Temples, Raneh Falls, Panna Tiger Reserve, Ken River"
MP,Syna Heritage Hotel,Heritage Hotel,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Panna National Park, Khajuraho Temples, Raneh Falls, Ken River, Pandav Falls"
MP,Taj Pench Tiger Reserve,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Pench National Park, Turia Gate, Kohka Dam, Totladoh Dam, Sitaghat"
MP,Pench Tree Lodge,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Pench National Park, Karmajhiri Gate, Turia Gate, Ramtek Reservoir, Mansar"
MP,Banjaar Tola (Taj),Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Kanha National Park, Mukki Gate, Banjaar River, Kanha Museum, Khatia Gate"
MP,Singinawa Jungle Lodge,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Kanha National Park, Mukki Gate, Sher Nullah, Kanha Museum, Bamni Dadar"
MP,Mahua Kothi (Taj),Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Bandhavgarh Park, Tala Gate, Bandhavgarh Fort, Shesh Shaiya, Baghel Museum"
MP,Samode Safari Lodge,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Bandhavgarh Park, Tala Gate, Magadhi Gate, Khajuraho, Bandhavgarh Fort"
MP,Pashan Garh (Taj),Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Panna National Park, Ken River, Raneh Falls, Khajuraho Temples, Pandav Falls"
MP,Ahilya Fort,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Maheshwar Ghat, Ahilyabai Fort, Rajwada, Jaleshwar Temple, Narmada River"
MP,Taj Usha Kiran Palace,Heritage Hotel,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Jai Vilas Palace, Gwalior Fort, Teli Ka Mandir, Sas Bahu Temple, Gujari Mahal"
MP,Radisson Gwalior,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Gwalior Fort, Jai Vilas Palace, Sun Temple, Tansen Tomb, Phool Bagh"
MP,Forsyth Lodge,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Satpura National Park, Madhai Gate, Denwa River, Bee Falls, Jata Shankar"
Haryana,The Oberoi Gurgaon,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Cyber Hub, Kingdom of Dreams, Sultanpur Sanctuary, Ambience Mall, Leisure Valley"
Haryana,Trident Gurgaon,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Ambience Mall, Cyber Hub, Kingdom of Dreams, Sultanpur Bird Sanctuary, Leisure Valley"
Haryana,The Westin Gurgaon,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","IFFCO Chowk, Kingdom of Dreams, Leisure Valley, Cyber Hub, Galleria Market"
Haryana,The Leela Ambience,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Ambience Mall, Cyber Hub, Kingdom of Dreams, DLF Cyber City, Sultanpur Sanctuary"
Haryana,Taj City Centre,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Huda City Centre, Kingdom of Dreams, Leisure Valley, Appu Ghar, Galleria Market"
Haryana,ITC Grand Bharat,Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Heritage Transport Museum, Damdama Lake, Sultanpur Sanctuary, Aravali Hills, Gurgaon"
Haryana,Le Meridien Gurgaon,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Guru Dronacharya, Cyber Hub, Ambience Mall, Kingdom of Dreams, DLF Cyber City"
Haryana,Crowne Plaza Gurgaon,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Signature Tower, Kingdom of Dreams, Leisure Valley, Cyber Hub, Galleria Market"
Haryana,Hyatt Regency Gurgaon,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Manesar, Heritage Transport Museum, Sultanpur Sanctuary, Damdama Lake, Gurgaon"
Haryana,The Gateway Damdama,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Damdama Lake, Sohna Hot Springs, Heritage Transport Museum, Sultanpur Sanctuary, Gurgaon"
Haryana,Heritage Village Manesar,Heritage Hotel,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Manesar, Heritage Transport Museum, Sultanpur Sanctuary, Wet n Wild, Damdama Lake"
Haryana,DoubleTree by Hilton,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Golf Course Road, Cyber Hub, Ambience Mall, Kingdom of Dreams, Leisure Valley"
Haryana,Radisson Udyog Vihar,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Udyog Vihar, Cyber Hub, Ambience Mall, DLF Cyber City, Kingdom of Dreams"
Haryana,Courtyard Gurugram,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Sushant Lok, Galleria Market, Leisure Valley, Kingdom of Dreams, IFFCO Chowk"
Haryana,Vivanta Surajkund,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Surajkund Lake, Tughlaqabad Fort, Asola Bhatti Sanctuary, Badkhal Lake, Crown Mall"
Haryana,Radisson Blu Faridabad,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Mathura Road, Badkhal Lake, Surajkund, Raja Nahar Singh Palace, Crown Interior Mall"
Haryana,The Vivaan Resort,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","GT Road, Karna Lake, Cantonment Tower, Pukka Pul, Atal Park"
Haryana,Noor Mahal,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Karna Lake, Cantonment Church Tower, Pukka Pul, Atal Park, Sheikh Chilli's Tomb"
Haryana,Days Hotel Panipat,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Panipat Battle Site, Ibrahim Lodhi Tomb, Kala Amb, Panipat Museum, Salar Gunj Gate"
Haryana,WelcomHotel Bella Vista,Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Morni Hills, Pinjore Gardens, Nada Sahib, Cactus Garden, Sukhna Lake"
Haryana,Holiday Inn Panchkula,Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Nada Sahib, Pinjore Gardens, Morni Hills, Cactus Garden, Rock Garden"
Haryana,Grand Hyatt Gurgaon,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Golf Course Road, DLF Cyber City, Ambience Mall, Kingdom of Dreams, Sultanpur Sanctuary"
Haryana,Pullman Gurgaon,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","MG Road, Kingdom of Dreams, Leisure Valley, Cyber Hub, Galleria Market"
Haryana,Best Western Manesar,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Manesar, Heritage Transport Museum, Sultanpur Sanctuary, Wet n Wild, Damdama Lake"
Haryana,Lemon Tree Premier 2,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Leisure Valley, Kingdom of Dreams, IFFCO Chowk, Cyber Hub, Galleria Market"
West Bengal,ITC Royal Bengal,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Science City, Nicco Park, Victoria Memorial, Howrah Bridge, Dakshineswar Temple"
West Bengal,ITC Sonar,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Science City, Birla Planetarium, Indian Museum, Victoria Memorial, Kalighat Temple"
West Bengal,The Oberoi Grand,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","New Market, Maidan, Indian Museum, Victoria Memorial, Eden Gardens"
West Bengal,Taj Bengal,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Victoria Memorial, Alipore Zoo, National Library, Birla Planetarium, Maidan"
West Bengal,JW Marriott Kolkata,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Science City, Quest Mall, Victoria Memorial, Park Street, Birla Temple"
West Bengal,The Westin Rajarhat,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Eco Park, Mother's Wax Museum, Biswa Bangla Gate, Nazrul Tirtha, City Centre 2"
West Bengal,The Lalit Great Eastern,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Dalhousie Square, High Court, St. John's Church, Eden Gardens, Millennium Park"
West Bengal,Taj City Centre New Town,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","City Centre 2, Eco Park, Mother's Wax Museum, Biswa Bangla Gate, Nazrul Tirtha"
West Bengal,Hyatt Regency Kolkata,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Salt Lake Stadium, Nicco Park, Science City, City Centre 1, Sector V"
West Bengal,Novotel Kolkata Hotel,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Axis Mall, Eco Park, Mother's Wax Museum, Biswa Bangla Gate, Nazrul Tirtha"
West Bengal,Glenburn Tea Estate,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Tea Gardens, Darjeeling Town, Tiger Hill, Batasia Loop, Rangeet River"
West Bengal,Mayfair Darjeeling,Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Mall Road, Tiger Hill, Batasia Loop, Himalayan Mountaineering Institute, Zoo"
West Bengal,"The Elgin, Darjeeling",Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Himalayan Railway, Mall Road, Observatory Hill, Peace Pagoda, Tiger Hill"
West Bengal,Taj Chia Kutir,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Kurseong, Makaibari Tea Estate, Darjeeling, Tiger Hill, Salamander Lake"
West Bengal,The Elgin Silver Oaks,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Durpin Dara, Deolo Hill, Flower Nursery, Graham's Home, Thongsa Gompa"
West Bengal,Mayfair Himalayan Resort,Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Delo Hill, Durpin Dara, Pine View Nursery, Kalimpong Market, Dr. Graham's Home"
West Bengal,Mayfair Tea Resort,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Sukna Forest, Siliguri, Salugara Monastery, Mahananda Wildlife Sanctuary, ISKCON"
West Bengal,Courtyard Siliguri,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Hill Cart Road, Salugara Monastery, ISKCON Temple, Coronation Bridge, Hong Kong Market"
West Bengal,The Sana Beach Resort,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Mandarmani Beach, Tajpur, Digha, Shankarpur Beach, Marine Drive"
West Bengal,Raajkutir SeleQtions,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Swabhumi, Science City, Nicco Park, Salt Lake Central Park, Salt Lake Stadium"
West Bengal,Fairfield by Marriott,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","New Town, Eco Park, Mother's Wax Museum, Biswa Bangla Gate, Nazrul Tirtha"
West Bengal,The Park Kolkata,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Park Street, Victoria Memorial, Maidan, Indian Museum, St. Paul's Cathedral"
West Bengal,Kenilworth Hotel,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Little Russell St, Victoria Memorial, Birla Planetarium, St. Paul's Cathedral, Maidan"
West Bengal,Holiday Inn Airport,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Airport, Eco Park, Mother's Wax Museum, Biswa Bangla Gate, Nazrul Tirtha"
West Bengal,Hotel Sea Hawk,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Digha Beach, Marine Aquarium, Amarabati Park, Old Digha, Shankarpur"
Andhra,Novotel Varun Beach,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","RK Beach, Submarine Museum, Kailasagiri, VUDA Park, Ross Hill"
Andhra,The Park Vizag,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","VUDA Park, Tenneti Park, Indira Gandhi Zoo, RK Beach, Submarine Museum"
Andhra,Taj Gateway Vizag,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","RK Beach, Dolphin's Nose, Simhachalam Temple, Kailasagiri, Submarine Museum"
Andhra,Radisson Blu Vizag,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Rushikonda Beach, Kailasagiri, Zoo Park, Rama Krishna Beach, Submarine Museum"
Andhra,WelcomHotel Bay,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Grand Bay, RK Beach, Submarine Museum, Kailasagiri, VUDA Park"
Andhra,Four Points Sheraton,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Ramnagar, RK Beach, Submarine Museum, Kailasagiri, VUDA Park"
Andhra,Fairfield by Marriott,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","NAD Junction, Simhachalam Temple, RK Beach, Submarine Museum, Kailasagiri"
Andhra,Novotel Vijayawada,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Benz Circle, Kanaka Durga Temple, Undavalli Caves, Prakasam Barrage, Bhavani Island"
Andhra,Gateway MG Road,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Kanaka Durga Temple, Prakasam Barrage, Bhavani Island, Victoria Museum, Undavalli"
Andhra,Vivanta Vijayawada,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","MG Road, Kanaka Durga Temple, Undavalli Caves, Prakasam Barrage, Bhavani Island"
Andhra,Hyatt Place Vijayawada,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Gunadala, Kanaka Durga Temple, Prakasam Barrage, Bhavani Island, Undavalli"
Andhra,Taj Tirupati,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Tirumala Temple, Kapila Theertham, SV Zoo, Regional Science Centre, Chandragiri Fort"
Andhra,Fortune Select Tirupati,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Shilparamam, Tirumala Temple, ISKCON Temple, Govindaraja Temple, Kapila Theertham"
Andhra,Marasa Sarovar Tirupati,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Tirumala, Kapila Theertham, ISKCON Temple, Govindaraja Temple, SV Zoo"
Andhra,Golden Tulip Tirupati,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Renigunta Road, Tirumala Temple, Kapila Theertham, ISKCON Temple, SV Zoo"
Andhra,Grand Kakinada by GRT,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Coringa Wildlife Sanctuary, Hope Island, Uppada Beach, Kakinada Port, Samalkot"
Andhra,Manjeera Sarovar,Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Godavari River, Sir Arthur Cotton Museum, ISKCON Temple, Dowleswaram, Papi Hills"
Andhra,Triguna Clarks Inn,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Konda Reddy Burrs, Orvakal Rock Garden, Rollapadu Sanctuary, Belum Caves, Mantralayam"
Andhra,WelcomHotel Guntur,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Amaravathi, Uppalapadu Bird Sanctuary, Kondaveedu Fort, Ethipothala Falls, Nagarjuna Sagar"
Andhra,Minerva Grand Nellore,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Ranganatha Temple, Nellapattu Sanctuary, Pulicat Lake, Penna River, Mypadu Beach"
Andhra,Dolphin Hotel Vizag,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Daba Gardens, RK Beach, Submarine Museum, Kailasagiri, VUDA Park"
Andhra,Quality Hotel DV Manor,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","MG Road, Kanaka Durga Temple, Undavalli Caves, Prakasam Barrage, Bhavani Island"
Andhra,Green Park Vizag,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Waltair Main Rd, RK Beach, Submarine Museum, Kailasagiri, VUDA Park"
Andhra,Pai Viceroy Tirupati,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Kapila Theertham, Tirumala Temple, ISKCON Temple, SV Zoo, Govindaraja Temple"
Andhra,Haritha Gandikota,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Grand Canyon of India, Gandikota Fort, Pennar River, Belum Caves, Mylavaram Dam"
Odisha,Vivanta Bhubaneswar,Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Lingaraj Temple, Udayagiri Caves, Dhauli Stupa, Nandankanan Zoo, Museum"
Odisha,Mayfair Lagoon,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Udayagiri Caves, Khandagiri, Lingaraj Temple, Nandankanan Zoo, Science Park"
Odisha,Trident Bhubaneswar,Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Nandankanan Zoo, Lingaraj Temple, Udayagiri Caves, Dhauli Stupa, State Museum"
Odisha,WelcomHotel Bhubaneswar,Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Dhauli Stupa, Lingaraj Temple, Udayagiri Caves, Nandankanan Zoo, Mukteswar Temple"
Odisha,Fortune Park Sishmo,Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","State Museum, Lingaraj Temple, Udayagiri Caves, Dhauli Stupa, Rajarani Temple"
Odisha,Swosti Premium,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Jayadev Vatika, Lingaraj Temple, Udayagiri Caves, Nandankanan Zoo, State Museum"
Odisha,Mayfair Heritage Puri,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Jagannath Temple, Puri Beach, Gundicha Temple, Swargadwar, Raghurajpur"
Odisha,Mayfair Waves,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Puri Beach, Jagannath Temple, Chilika Lake, Konark Sun Temple, Raghurajpur"
Odisha,Sterling Puri,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Golden Beach, Jagannath Temple, Swargadwar, Chilika Lake, Konark Sun Temple"
Odisha,Hans Coco Palms,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Swargadwar, Jagannath Temple, Puri Beach, Raghurajpur, Gundicha Temple"
Odisha,Chariot Resort & Spa,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Marine Drive, Puri Beach, Jagannath Temple, Konark Sun Temple, Chilika Lake"
Odisha,Toshali Sands,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Balukhand Reserve, Konark Sun Temple, Puri Beach, Jagannath Temple, Chilika Lake"
Odisha,Mayfair Palm Beach,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Gopalpur Beach, Lighthouse, Chilika Lake, Tara Tarini Temple, Pati Sonepur"
Odisha,Swosti Palm Resort,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Lighthouse, Gopalpur Beach, Chilika Lake, Tara Tarini Temple, Rushikulya"
Odisha,Swosti Chilika Resort,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Chilika Lake, Kalijai Temple, Nalabana Sanctuary, Mangalajodi, Honeymoon Island"
Odisha,Lotus Eco Resort,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Sun Temple, Konark Beach, Chandrabhaga Beach, Puri, Ramchandi Temple"
Odisha,The Crown,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Kalinga Stadium, Lingaraj Temple, Udayagiri Caves, Nandankanan Zoo, Museum"
Odisha,HHI Bhubaneswar,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Ram Mandir, Lingaraj Temple, Udayagiri Caves, Nandankanan Zoo, Museum"
Odisha,Pramod Convention Club,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Barabati Fort, Netaji Birthplace, Maritime Museum, Kataka Chandi Temple, Dhabaleswar"
Odisha,Mayfair Rourkela,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Hanuman Vatika, Indira Gandhi Park, Vedavyas Temple, Mandira Dam, Vaishno Devi"
Odisha,Empire Hotel Paradip,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Paradip Port, Paradip Beach, Hanuman Temple, Marine Museum, Sandhakuda"
Odisha,New Marrion,Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Janpath, Lingaraj Temple, Udayagiri Caves, Nandankanan Zoo, Dhauli Stupa"
Odisha,Holiday Resort Puri,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Chakra Tirtha, Jagannath Temple, Puri Beach, Raghurajpur, Swargadwar"
Odisha,Lemon Tree Premier,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Infocity, Nandankanan Zoo, Lingaraj Temple, Udayagiri Caves, Museum"
Odisha,Satkosia Sands Resort,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Gorge Sanctuary, Tikarpada, Chhotakei, Binikei, Baghamunda"
Assam,Vivanta Guwahati,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Khanapara, Kamakhya Temple, Umananda Island, Brahmaputra River, Zoo"
Assam,Radisson Blu Guwahati,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Deepor Beel, Kamakhya Temple, Brahmaputra, Pobitora Sanctuary, Science Museum"
Assam,Novotel Guwahati,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Dispur, Kamakhya Temple, Srimanta Sankaradeva Kalakshetra, Zoo, Brahmaputra"
Assam,Kiranshree Grand,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Airport, Deepor Beel, Kamakhya Temple, Umananda, Science Museum"
Assam,Borgos Resort,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Kaziranga Park, Orchid Park, Tea Gardens, Brahmaputra River, Kakochang Falls"
Assam,IORA The Retreat,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Orchid Park, Kaziranga National Park, Tea Gardens, Ethnic Village, Kakochang Falls"
Assam,Diphlu River Lodge,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","River Diphlu, Kaziranga National Park, Orchid Park, Tea Gardens, Tribal Village"
Meghalaya,Vivanta Meghalaya,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Police Bazar, Ward's Lake, Shillong Peak, Elephant Falls, Don Bosco Museum"
Meghalaya,Ri Kynjai,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Umiam Lake, Elephant Falls, Shillong Peak, Mawlynnong, Cherrapunji"
